Nama;Kegiatan;Kecamatan;Alamat;kategori;lat;lng
Fatwa Modiste;Jasa Penjahit Baju;Pasar Kliwon;Sontosuman Rt 003 Rw 003 Baluwarti Pasar Kliwon Surakarta ;Fashion;-7.5789636;110.8240811
Warung Kelontong Bu Marini;Menjual Kebutuhan Rumah Tangga ;Pasar Kliwon;Hordenasan Rt 3 Rw 3 Baluwarti Pasar Kliwon Surakarta ;Lain-lain;-7.5780403;110.8243278
Toko Kelontong Bu Hery;Menjual Sembako, Snack, Minuman Di Rumah;Pasar Kliwon;Mojo;Lain-lain;-7.5875734;110.8317773
"Wedangan ""Uye""";Wedangan Menjual Minuman  Dan Makanan ;Banjarsari;Mangkubumen  Rt 4 Rw 1;Kuliner;-7.5781473;110.8245558
Jual Gas Bu Tutik;Menjual Gas Eceran;Pasar Kliwon;Hordenasan Rt 003 Rw 003 Baluwarti Pasar Kliwon Surakarta ;Lain-lain;-7.5780177;110.824305
Rujak Petis Bu Homsiyah;Menjual Rujak Petis Dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5875248;110.8315726
Bakso Bakar Widodo;Menjual Bakso Bakar;Pasar Kliwon;Mojo;Kuliner;-7.588089;110.8327681
Putihan Shuttelcok;Membuat Putihan Shuttelcok;Serengan ;Pringgolayan;Lain-lain;-7.5816469;110.8124105
New Inti Shuttelcok;Membuat Shuttelcok Dari Bulu Ayam;Serengan ;Pringgolayan;Lain-lain;-7.5816564;110.8124191
Cumi Cumi Snack;Membuat Makanan Snack Cumi Cumi;Serengan ;Pringgolayan;Kuliner;-7.5816119;110.811991
Siti Waqidah;Menjual Bahan Pokok Misal Gula, Beras, Minyak Telur ;Serengan ;Pringgolayan;Lain-lain;-7.5811716;110.8118621
Lumpia Bung Dewi Sri;Membuat Lumpia Untuk Disetorkan Ke Warung Warung;Serengan ;Pringgolayan;Kuliner;-7.5815841;110.8118149
Warmindo Hik Ndeso;Warmindo ;Serengan ;Tipes;Kuliner;-7.5789157;110.808652
Sate Kambing Sogol;Jual Sate Kambing;Pasar Kliwon;Semanggi ;Kuliner;-7.581264;110.8350228
Ayam Kentucky;Menjual Makanan;Laweyan;Panularan;Kuliner;-7.4956004;110.8066238
Penyetan Nuno Bu Wiwik;Menjual Penyetan;Jebres;Pucangsawit;Kuliner;-7.5663945;110.8552581
Warung Soto Bu Surati;Warung Soto ;Laweyan;Karangasem Rt04 Rw22 Banjarsari Banjarsari Surakarta;Kuliner;-7.5411054;110.8280062
Snack Mbak Siska; Menjual Anekamaknan Kecil;Pasar Kliwon;Swmanggi;Kuliner;-7.580352;110.8401731
Boothportabel;Membuat Dan Menjual Lemari Dan Alat Rumah Tangga Dari Almunium;Pasar Kliwon;Semanggi;Kriya;-7.5863656;110.8353175
Penjahit Bu Padmi;Menerima Jahitan Pakaian Dirumah;Pasar Kliwon;Mojo;Fashion;-7.5876314;110.8318047
Kerajinan Sepatu S.Warto Collection;Membuat Sepatu Dirumah;Pasar Kliwon;Mojo;Kriya;-7.5872968;110.8321433
Toko Kelontong Mbah Hadi;Menjual Sembako Di Rumah;Pasar Kliwon;Mojo;Lain-lain;-7.5873995;110.8325076
Usaha Sayur Mayur Mbah Marikem;Menjual Sayur Mayur Di Rumah;Pasar Kliwon;Mojo;Lain-lain;-7.5874169;110.8328524
Bengkel Mobil Mas Dwi;Reparasi Dan Perawatan Mobil;Pasar Kliwon;Mojo;Lain-lain;-7.5868861;110.8325316
Kedai Makanan Bu Supriyati;;Serengan ;Kratonan;Kuliner;-7.5807202;110.8187733
Warung Bu Agus Winarsih;Menjual Aneka Minuman ;Serengan ;Kratonan ;Kuliner;-7.5808102;110.8197673
Warmindo Bu Bay;Menjual Aneka Mie ;Serengan ;Kratonan;Kuliner;-7.5812226;110.8186758
Lotek Mbak Annisa;Penjual Lotek;Jebres;Kepanjen;Kuliner;-7.5695048;110.8345189
Warung Makan Pak Ndol Bd;Warung Makan;Jebres;Balong;Kuliner;-7.5685719;110.8338021
Eka Snack;Membuat Aneka Snak;Pasar Kliwon;Mojo;Kuliner;-7.5890933;110.8302246
Warung Mak Sarti;Wedangan ;Jebres;Sudiroprajan ;Kuliner;-7.5679841;110.835464
Warung Makan;Menjual Makanan;Laweyan;Jajar;Kuliner;-7.5542676;110.7856706
Warung Sayur Bu Tarno;Menjual Sayuran Mentah;Pasar Kliwon;Gambuhan Rt 001 Rw 003 Baluwarti Pasar Kliwon Surakarta ;Lain-lain;-7.5774977;110.8242835
Kios Tahu;Menjual Aneka Tahu ;Jebres;Kios Pasar Rejosari Blok L.30;Kuliner;-7.563396944444444;110.83820341666667
Kios Rambak;Menjual Aneka Rambak;Jebres;Kios Pasar Rejosari Blok L.32;Kuliner;-7.5632619722222225;110.83820341666667
Jasa Copy Film;Jasa Copy Film;Pasar Kliwon;Gambuhan ;Digital;-7.5772296;110.8243316
Wedangan Seberang Istana;Warung Makanan Dan Minuman;Pasar Kliwon;Suronatan Rt 001 Rw 002 Baluwarti Pasar Kliwon Surakarta ;Kuliner;-7.5765753;110.8290285
Rajna Alfarizky Store;Membuat  Kipas;Pasar Kliwon;Suronatan Rt 001 Rw 002 Baluwarti Pasar Kliwon Surakarta ;Kriya;-7.5769479;110.8275816
Es Dawet Mas Ulum;Menjual Es Dawet;Pasar Kliwon;Suronatan Rt 001 Rw 002 Baluwarti Pasar Kliwon Surakarta ;Kuliner;-7.5768992;110.8275398
Steak Mr Joe;Menjual Makanan Dan Minuman ;Serengan ;Tipes ;Kuliner;-7.5766584;110.8060025
Kios Tahu Goreng;Menjual Berbagai Jenis Tahu ;Jebres;Kios Pasar Rejosari Blok L.04;Kuliner;-7.5632219166666665;110.83821866666666
Kios Tempe;Menjual Berbagai Macam Tempe;Jebres;Kios Pasar Rejosari Blok L.13;Kuliner;-7.563278194444445;110.8381271111111
Kios Tahu Goreng;Menjual Berbagai Jenis Tahu ;Jebres;Kios Pasar Rejosari Blok L.07;Kuliner;-7.5631818611111115;110.83826444444445
Kios Tahu;Menjual Aneka Tahu ;Jebres;Kios Pasar Rejosari Blok L.06;Kuliner;-7.563220972222222;110.83814238888888
Kios Tempe;Menjual Tempe Kedelai ;Jebres;Kios Pasar Rejosari Blok L.11;Kuliner;-7.5632619722222225;110.83821866666666
Kios Tahu;Menjuall Berbagai Jenis Tahu ;Jebres;Kios Pasar Rejosari Blok L.16;Kuliner;-7.5632748888888885;110.83808897222222
Kios Sembako;Menjual Berbagai Macam Kebutuhan Sehari Hari ;Jebres;Kios Pasar Rejosari Blok L.22;Lain-lain;-7.563263888888889;110.83820341666667
Kios Tahu;Menjual Aneka Jenis Tahu Dan Tempe;Jebres;Kios Pasar Rejosari Blok L.10;Kuliner;-7.56326725;110.83819577777778
Kios Tahu;Menjual Aneka Jenis Tahu Dan Tempe ;Jebres;Kios Pasar Rejosari Blok L.02;Kuliner;-7.563210027777778;110.83824919444444
Kios Tahu;Menjual Berbagai Jenis Tahu ;Jebres;Kios Pasar Rejosari Blok L.01;Kuliner;-7.563255805555555;110.83821105555556
Kios Sayuran;Menjual Berbagai Macam Sayuran Segar ;Jebres;Kios Pasar Rejosari Blok K.13;Lain-lain;-7.563253888888889;110.83821105555556
Kios Sayuran;Menjual Berbagai Macam Sayuran Segar ;Jebres;Kios Pasar Rejosari Blok K.14;Lain-lain;-7.563257194444445;110.83820341666667
Kios Sayuran;Menjual Berbagai Macam Sayuran Segar;Jebres;Kios Pasar Rejosari Blok K.O6;Lain-lain;-7.563270055555556;110.83818816666667
Kios Sayuran;Menjual Berbagai Macam Sayuran Segar ;Jebres;Kios Pasar Rejosari Blok K.05;Lain-lain;-7.563250083333333;110.83817288888889
Kios Empon-Empon;Menjual Macam Empon-Empon ;Jebres;Kios Pasar Rejosari Blok K.03;Lain-lain;-7.5632428888888885;110.83822630555555
Kios Sayuran;Menjual Berbagai Macam Sayuran Segar;Jebres;Kios Pasar Rejosari Blok K.02;Lain-lain;-7.563285805555555;110.83818052777778
Kios Empon-Empon;Menjual Berbagai Macam Empon-Empon;Jebres;Kios Pasar Rejosari Blok F.13;Lain-lain;-7.563259111111111;110.83821866666666
Kios Sembako;Menjual Berbagai Macam Kebutuhan Sehari Hari;Jebres;Kios Pasar Rejosari Blok F.12;Lain-lain;-7.563231;110.83822630555555
Kios Sembako;Menjual Berbagai Macam Kebutuhan Sehari Hari;Jebres;Kios Pasar Rejosari Blok F.11;Lain-lain;-7.563231;110.83822630555555
Kios Makanan;Menjual Makanan / Snack Kering Di Kios Pasar ;Jebres;Kios Pasar Rejosari Blok E.12;Kuliner;-7.563240027777778;110.83822630555555
Kios Empon-Empon;Menjual Empon-Empon Di Kios Pasar;Jebres;Kios Pasar Rejosari Blok E.11;Lain-lain;-7.563220972222222;110.83824919444444
Kios Sayuran;Menjual Berbagai Macam Sayuran Segar ;Jebres;Kios Pasar Rejosari Blok E.10;Lain-lain;-7.563199027777777;110.83824919444444
Lotek Dan Bakmi Toprak Bu Darini;Warung Makan;Jebres;Kepanjen ;Kuliner;-7.5688518;110.8343094
Warung Nasi Cik Mbeho;Warung Nasi Timlo, Mie, Es;Jebres;Sudiroprajan ;Kuliner;-7.5681981;110.8354712
Timlo Asli Solo;Warung Nasi Timlo;Jebres;Balong ;Kuliner;-7.5682329;110.8347349
Warung Bakmi Mbak Tika;Warung Bakmi ;Jebres;Mijen;Kuliner;-7.5679284;110.8351974
Wedangan Bu Sunarmi;Wedangan;Jebres;Mijen ;Kuliner;-7.5679702;110.8353235
Kelontong Cik Ninik;Kelontong;Jebres;Kepanjen;Lain-lain;-7.5688164;110.833445
Tenongan Dan Catering Bu Suparti;Tenongan Dan Katering (By Order);Jebres;Kepanjen;Kuliner;-7.5695648;110.8346917
Warung Bu Yanti;Kelontong;Jebres;Mijen;Lain-lain;-7.5682556;110.8354502
Warung Sayur Mbak Nikhen;Warung Sayur ;Jebres;Sudiroprajan ;Lain-lain;-7.5681433;110.8354979
Warung Mbak Tia;Warung Es Dan Snack;Jebres;Mijen ;Kuliner;-7.5680789;110.8349714
Onde Onde Bu Atun;Onde Onde Dan Intip ;Jebres;Mijen ;Kuliner;-7.5681277;110.8347652
Wedangan Bu Sri;Wedangan Bu Sri;Pasar Kliwon;Sontosuman Rt 003 Rw 003 Baluwarti Pasar Kliwon ;Kuliner;-7.5790344;110.8244667
Toko Intan;Menjual Beras, Gula, Es Teh;Pasar Kliwon;Jalan Lumbung Wetan;Lain-lain;-7.5809048;110.8278357
Wedangan Klintoh Waduk;Menjual Makanan Wedangan ;Serengan ;Pringgolayan;Kuliner;-7.5815508;110.811941
Bakmi Thoprak Bu Yani;Menjual Bakmi Thoprak Rumahan;Serengan ;Pringgolayan;Kuliner;-7.5823832;110.8120043
Penjahit Ifa;Menjahit Pakaian;Laweyan;Panularan;Fashion;-7.5748195;110.80651
Kragilan Rt01 Rw12;Membuat Telur Asin Dan Menjualnya;Banjarsari;Kragilan Rt01 Rw12 Banjarsari Banjarsari Surakarta;Kuliner;-7.5361212;110.8276229
Dts Ban;Menjual Ban Bekas Vulkanisir Dan Velg;Banjarsari;Jl Sumpah Pemuda;Lain-lain;-7.5404809;110.8251938
Mie Pitik Lek Kirun;Menjual Mie Ayam Dan Es Teh;Laweyan;Karangasem Rt04 Rw22;Kuliner;-7.5412321;110.8277684
Jual Beli Burung Labert;Jual Beli Burung Labert;Banjarsari;Kragilan;Lain-lain;-7.5366117;110.8279317
Es Degan Pandu;Menjual Es Degan, Minuman Sachetan Dan Snack;Laweyan;Karangasem Rt04 Rw22;Kuliner;-7.5410495;110.8276637
Batik Padas Keong;Proses Pembuatan Baju Batik Secara Cap Manual;Laweyan;Mutihan ;Fashion;-7.5663948;110.788459
Batik Tulis Pipin;Melukis Batik Tulis Dikain;Laweyan;Mutihan;Fashion;-7.5663865;110.7884254
Niea Collection;Menjual Baju Berupa Blouse, Daster Dan Setelan Ke Pedagang Kecil;Laweyan;Mutihan;Fashion;-7.5663816;110.7884305
Penjahit Pasiah;Menjahit Baju Kemeja Sesuai Pesanan;Laweyan;Mutihan;Fashion;-7.5666311;110.7882391
Wedangan Pak Joko;Menyediakan Makanan Dan Minuman Diangkringan;Laweyan;Mutihan;Kuliner;-7.5662646;110.7883673
Warung Klontong Bella;Menjual Sembako Eceran;Laweyan;Rt.02/01 Laweyan, Laweyan;Lain-lain;-7.5713414;110.7970796
Warung Bu Sulastri;Warung Kelontong Yang Jualan Utamanya Adalah Rokok, Minuman Kemasan, Teh, Gula, Sabun Mandi, Shampoo, Deterjen Dll;Pasar Kliwon;Kampungbaru Rt 01 Rw 05;Lain-lain;-7.5687116;110.8304972
Sate Sapi;Jualan Sate;Banjarsari;Keprabon,Prawedanan;Kuliner;-7.5632872;110.8218967
Air Galon;Menjual Air Isi Ulang;Banjarsari;Jl,Rakata 3 No 5;Lain-lain;-7.5633225;110.8199032
Es Jus;Jual Minuman;Banjarsari;Jl Yosodipuro No 24;Kuliner;-7.56564;110.8201901
Rambak Mbah Niti;Menjual Kerupuk;Laweyan;Purwonegaran ;Kuliner;-7.5659612;110.8125579
Hek Lek Topo;Menjual Es Teh, Es Jeruk, Nasi Bandeng, Gorengan ;Pasar Kliwon;Kampung Sewu;Kuliner;-7.5731315;110.8419154
Snack Markuni Bu Hartati;Menjual Snack Markuni Goreng;Banjarsari;Jl Madyotaman 1 No 19 Punggawan Banjarsari Surakarta;Kuliner;-7.5586007;110.8200998
Warung Makan Gado Gado Mbak Zuni;Usaha Warung Makan Dengan Menu Gado-Gado,Lotek,Tahu Acar,Dll;Banjarsari;Jl Hasanudin117 Punggawan Banjarsari Surakarta;Kuliner;-7.5578205;110.8196871
Warung Bu Tini;Jual Rokok,Gula,Pampers Ecer,Dll;Banjarsari;Jl.Hasanudin No 133 Punggawan,Banjarsari, Surakarta;Lain-lain;-7.5584665;110.8202923
Warung Bu Heny;Menyediakan Minuman Dan Jual Snack;Banjarsari;Jl.Mayang No 14;Kuliner;-7.5687908;110.8355933
Loundry Novi;Usaha Mencuci Pakaian ;Banjarsari;Priyobadan;Lain-lain;-7.5659303;110.8163672
Bengkel Mobil Irish Servis;Reparasi Mobil;Jebres;Jl Suko Blok C4 No 10;Lain-lain;-7.5666906;110.8164298
Warung Kelontong;Menjual Jajanan Ringan Di Rumah;Banjarsari;Jalan Soka Rt 003 Rw 002 Timuran;Lain-lain;-7.567182;110.8170808
Kedai Makan Pak Plendung;Menjual Nasi Sop Matahari, Timlo, Selat;Serengan ;Kratonan ;Kuliner;-7.580506;110.8191835
