Nama;Kegiatan;Kecamatan;Alamat;kategori;lat;lng;;
Warung Kelontong Bu Marini;menjual kebutuhan rumah tangga ;Pasar Kliwon;Hordenasan Rt 3 Rw 3 Baluwarti Pasar Kliwon Surakarta ;Lain-lain;-7.5780403;110.8243278;;
Toko Kelontong Bu Hery;Menjual sembako, Snack, minuman di rumah;Pasar Kliwon;Mojo;Lain-lain;-7.5875734;110.8317773;;
"Wedangan ""Uye""";wedangan menjual minuman  dan makanan ;Banjarsari;Mangkubumen  Rt 4 Rw 1;Kuliner;-7.5781473;110.8245558;;
Jual Gas Bu Tutik;menjual gas eceran;Pasar Kliwon;Hordenasan Rt 003 Rw 003 Baluwarti Pasar Kliwon Surakarta ;Lain-lain;-7.5780177;110.824305;;
Rujak Petis Bu Homsiyah;Menjual Rujak Petis dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5875248;110.8315726;;
Bakso Bakar Widodo;Menjual Bakso Bakar;Pasar Kliwon;Mojo;Kuliner;-7.588089;110.8327681;;
Putihan Shuttelcok;membuat putihan shuttelcok;Serengan ;Pringgolayan;Lain-lain;-7.5816469;110.8124105;;
New Inti Shuttelcok;membuat shuttelcok dari bulu ayam;Serengan ;Pringgolayan;Lain-lain;-7.5816564;110.8124191;;
Cumi Cumi Snack;membuat makanan snack cumi cumi;Serengan ;Pringgolayan;Kuliner;-7.5816119;110.811991;;
Siti Waqidah;menjual bahan pokok misal gula, beras, minyak telur ;Serengan ;Pringgolayan;Lain-lain;-7.5811716;110.8118621;;
Lumpia Bung Dewi Sri;membuat lumpia untuk disetorkan ke warung warung;Serengan ;Pringgolayan;Kuliner;-7.5815841;110.8118149;;
Warmindo Hik Ndeso;warmindo ;Serengan ;Tipes;Kuliner;-7.5789157;110.808652;;
Sate Kambing Sogol;jual sate kambing;Pasar Kliwon;Semanggi ;Kuliner;-7.581264;110.8350228;;
Ayam Kentucky;menjual makanan;Laweyan;Panularan;Kuliner;-7.4956004;110.8066238;;
Penyetan Nuno Bu Wiwik;menjual penyetan;Jebres;Pucangsawit;Kuliner;-7.5663945;110.8552581;;
Warung Soto Bu Surati;WARUNG SOTO ;Laweyan;Karangasem Rt04 Rw22 Banjarsari Banjarsari Surakarta;Kuliner;-7.5411054;110.8280062;;
Snack Mbak Siska; MENJUAL ANEKAMAKNAN KECIL;Pasar Kliwon;Swmanggi;Kuliner;-7.580352;110.8401731;;
Boothportabel;MEMBUAT DAN MENJUAL LEMARI DAN ALAT RUMAH TANGGA DARI ALMUNIUM;Pasar Kliwon;Semanggi;Kriya;-7.5863656;110.8353175;;
Penjahit Bu Padmi;Menerima Jahitan pakaian dirumah;Pasar Kliwon;Mojo;Fashion;-7.5876314;110.8318047;;
Kerajinan Sepatu S.Warto Collection;membuat sepatu dirumah;Pasar Kliwon;Mojo;Kriya;-7.5872968;110.8321433;;
Toko Kelontong Mbah Hadi;Menjual sembako di rumah;Pasar Kliwon;Mojo;Lain-lain;-7.5873995;110.8325076;;
Usaha Sayur Mayur Mbah Marikem;Menjual Sayur Mayur di Rumah;Pasar Kliwon;Mojo;Lain-lain;-7.5874169;110.8328524;;
Bengkel Mobil Mas Dwi;Reparasi dan Perawatan Mobil;Pasar Kliwon;Mojo;Lain-lain;-7.5868861;110.8325316;;
Kedai Makanan Bu Supriyati;;Serengan ;Kratonan;Kuliner;-7.5807202;110.8187733;;
Warung Bu Agus Winarsih;Menjual Aneka minuman ;Serengan ;Kratonan ;Kuliner;-7.5808102;110.8197673;;
Warmindo Bu Bay;Menjual aneka mie ;Serengan ;Kratonan;Kuliner;-7.5812226;110.8186758;;
Lotek Mbak Annisa;penjual lotek;Jebres;Kepanjen;Kuliner;-7.5695048;110.8345189;;
Warung Makan Pak Ndol Bd;warung makan;Jebres;Balong;Kuliner;-7.5685719;110.8338021;;
Eka Snack;membuat aneka snak;Pasar Kliwon;Mojo;Kuliner;-7.5890933;110.8302246;;
Warung Mak Sarti;wedangan ;Jebres;Sudiroprajan ;Kuliner;-7.5679841;110.835464;;
Warung Makan;menjual makanan;Laweyan;Jajar;Kuliner;-7.5542676;110.7856706;;
Warung Sayur Bu Tarno;menjual sayuran mentah;Pasar Kliwon;Gambuhan Rt 001 Rw 003 Baluwarti Pasar Kliwon Surakarta ;Lain-lain;-7.5774977;110.8242835;;
Kios Tahu;Menjual aneka tahu ;Jebres;Kios Pasar Rejosari Blok L.30;Kuliner;-7.563396944444444;110.83820341666667;;
Kios Rambak;Menjual aneka rambak;Jebres;Kios Pasar Rejosari Blok L.32;Kuliner;-7.5632619722222225;110.83820341666667;;
Jasa Copy Film;jasa copy film;Pasar Kliwon;Gambuhan ;Digital;-7.5772296;110.8243316;;
Wedangan Seberang Istana;warung makanan dan minuman;Pasar Kliwon;Suronatan Rt 001 Rw 002 Baluwarti Pasar Kliwon Surakarta ;Kuliner;-7.5765753;110.8290285;;
Rajna Alfarizky Store;membuat  kipas;Pasar Kliwon;Suronatan Rt 001 Rw 002 Baluwarti Pasar Kliwon Surakarta ;Kriya;-7.5769479;110.8275816;;
Es Dawet Mas Ulum;menjual es Dawet;Pasar Kliwon;Suronatan Rt 001 Rw 002 Baluwarti Pasar Kliwon Surakarta ;Kuliner;-7.5768992;110.8275398;;
Steak Mr Joe;menjual makanan dan minuman ;Serengan ;Tipes ;Kuliner;-7.5766584;110.8060025;;
Kios Tahu Goreng;menjual berbagai jenis tahu ;Jebres;Kios Pasar Rejosari Blok L.04;Kuliner;-7.5632219166666665;110.83821866666666;;
Kios Tempe;menjual berbagai macam tempe;Jebres;Kios Pasar Rejosari Blok L.13;Kuliner;-7.563278194444445;110.8381271111111;;
Kios Tahu Goreng;menjual berbagai jenis tahu ;Jebres;Kios Pasar Rejosari Blok L.07;Kuliner;-7.5631818611111115;110.83826444444445;;
Kios Tahu;Menjual aneka tahu ;Jebres;Kios Pasar Rejosari Blok L.06;Kuliner;-7.563220972222222;110.83814238888888;;
Kios Tempe;Menjual tempe kedelai ;Jebres;Kios Pasar Rejosari Blok L.11;Kuliner;-7.5632619722222225;110.83821866666666;;
Kios Tahu;Menjuall berbagai jenis tahu ;Jebres;Kios Pasar Rejosari Blok L.16;Kuliner;-7.5632748888888885;110.83808897222222;;
Kios Sembako;menjual berbagai macam kebutuhan sehari hari ;Jebres;Kios Pasar Rejosari Blok L.22;Lain-lain;-7.563263888888889;110.83820341666667;;
Kios Tahu;menjual aneka jenis tahu dan tempe;Jebres;Kios Pasar Rejosari Blok L.10;Kuliner;-7.56326725;110.83819577777778;;
Kios Tahu;menjual aneka jenis tahu dan tempe ;Jebres;Kios Pasar Rejosari Blok L.02;Kuliner;-7.563210027777778;110.83824919444444;;
Kios Tahu;menjual berbagai jenis tahu ;Jebres;Kios Pasar Rejosari Blok L.01;Kuliner;-7.563255805555555;110.83821105555556;;
Kios Sayuran;menjual berbagai macam sayuran segar ;Jebres;Kios Pasar Rejosari Blok K.13;Lain-lain;-7.563253888888889;110.83821105555556;;
Kios Sayuran;Menjual berbagai macam sayuran segar ;Jebres;Kios Pasar Rejosari Blok K.14;Lain-lain;-7.563257194444445;110.83820341666667;;
Kios Sayuran;menjual berbagai macam sayuran segar;Jebres;Kios Pasar Rejosari Blok K.O6;Lain-lain;-7.563270055555556;110.83818816666667;;
Kios Sayuran;menjual berbagai macam sayuran segar ;Jebres;Kios Pasar Rejosari Blok K.05;Lain-lain;-7.563250083333333;110.83817288888889;;
Kios Empon-Empon;menjual macam empon-empon ;Jebres;Kios Pasar Rejosari Blok K.03;Lain-lain;-7.5632428888888885;110.83822630555555;;
Kios Sayuran;menjual berbagai macam sayuran segar;Jebres;Kios Pasar Rejosari Blok K.02;Lain-lain;-7.563285805555555;110.83818052777778;;
Kios Empon-Empon;Menjual berbagai macam empon-empon;Jebres;Kios Pasar Rejosari Blok F.13;Lain-lain;-7.563259111111111;110.83821866666666;;
Kios Sembako;menjual berbagai macam kebutuhan sehari hari;Jebres;Kios Pasar Rejosari Blok F.12;Lain-lain;-7.563231;110.83822630555555;;
Kios Sembako;menjual berbagai macam kebutuhan sehari hari;Jebres;Kios Pasar Rejosari Blok F.11;Lain-lain;-7.563231;110.83822630555555;;
Kios Makanan;menjual makanan / snack kering di kios pasar ;Jebres;Kios Pasar Rejosari Blok E.12;Kuliner;-7.563240027777778;110.83822630555555;;
Kios Empon-Empon;menjual empon-empon di kios pasar;Jebres;Kios Pasar Rejosari Blok E.11;Lain-lain;-7.563220972222222;110.83824919444444;;
Kios Sayuran;menjual berbagai macam sayuran segar ;Jebres;Kios Pasar Rejosari Blok E.10;Lain-lain;-7.563199027777777;110.83824919444444;;
Lotek Dan Bakmi Toprak Bu Darini;warung makan;Jebres;Kepanjen ;Kuliner;-7.5688518;110.8343094;;
Warung Nasi Cik Mbeho;warung nasi timlo, mie, es;Jebres;Sudiroprajan ;Kuliner;-7.5681981;110.8354712;;
Timlo Asli Solo;warung nasi timlo;Jebres;Balong ;Kuliner;-7.5682329;110.8347349;;
Warung Bakmi Mbak Tika;warung bakmi ;Jebres;Mijen;Kuliner;-7.5679284;110.8351974;;
Wedangan Bu Sunarmi;wedangan;Jebres;Mijen ;Kuliner;-7.5679702;110.8353235;;
Kelontong Cik Ninik;kelontong;Jebres;Kepanjen;Lain-lain;-7.5688164;110.833445;;
Tenongan Dan Catering Bu Suparti;tenongan dan katering (by order);Jebres;Kepanjen;Kuliner;-7.5695648;110.8346917;;
Warung Bu Yanti;kelontong;Jebres;Mijen;Lain-lain;-7.5682556;110.8354502;;
Warung Sayur Mbak Nikhen;warung sayur ;Jebres;Sudiroprajan ;Lain-lain;-7.5681433;110.8354979;;
Warung Mbak Tia;warung es dan snack;Jebres;Mijen ;Kuliner;-7.5680789;110.8349714;;
Onde Onde Bu Atun;onde onde dan intip ;Jebres;Mijen ;Kuliner;-7.5681277;110.8347652;;
Wedangan Bu Sri;wedangan bu Sri;Pasar Kliwon;Sontosuman Rt 003 Rw 003 Baluwarti Pasar Kliwon ;Kuliner;-7.5790344;110.8244667;;
Toko Intan;menjual beras, gula, es teh;Pasar Kliwon;Jalan Lumbung Wetan;Lain-lain;-7.5809048;110.8278357;;
Wedangan Klintoh Waduk;menjual makanan wedangan ;Serengan ;Pringgolayan;Kuliner;-7.5815508;110.811941;;
Bakmi Thoprak Bu Yani;menjual bakmi thoprak rumahan;Serengan ;Pringgolayan;Kuliner;-7.5823832;110.8120043;;
Penjahit Ifa;menjahit pakaian;Laweyan;Panularan;Fashion;-7.5748195;110.80651;;
Kragilan Rt01 Rw12;MEMBUAT TELUR ASIN DAN MENJUALNYA;Banjarsari;Kragilan Rt01 Rw12 Banjarsari Banjarsari Surakarta;Kuliner;-7.5361212;110.8276229;;
Dts Ban;MENJUAL BAN BEKAS VULKANISIR DAN VELG;Banjarsari;Jl Sumpah Pemuda;Lain-lain;-7.5404809;110.8251938;;
Mie Pitik Lek Kirun;MENJUAL MIE AYAM DAN ES TEH;Laweyan;Karangasem Rt04 Rw22;Kuliner;-7.5412321;110.8277684;;
Jual Beli Burung Labert;JUAL BELI BURUNG LABERT;Banjarsari;Kragilan;Lain-lain;-7.5366117;110.8279317;;
Es Degan Pandu;MENJUAL ES DEGAN, MINUMAN SACHETAN DAN SNACK;Laweyan;Karangasem Rt04 Rw22;Kuliner;-7.5410495;110.8276637;;
Batik Padas Keong;Proses pembuatan Baju Batik secara Cap manual;Laweyan;Mutihan ;Fashion;-7.5663948;110.788459;;
Batik Tulis Pipin;Melukis Batik Tulis dikain;Laweyan;Mutihan;Fashion;-7.5663865;110.7884254;;
Niea Collection;menjual baju berupa blouse, daster dan setelan ke pedagang kecil;Laweyan;Mutihan;Fashion;-7.5663816;110.7884305;;
Penjahit Pasiah;menjahit baju kemeja sesuai pesanan;Laweyan;Mutihan;Fashion;-7.5666311;110.7882391;;
Wedangan Pak Joko;Menyediakan makanan dan minuman diangkringan;Laweyan;Mutihan;Kuliner;-7.5662646;110.7883673;;
Warung Klontong Bella;Menjual sembako eceran;Laweyan;Rt.02/01 Laweyan, Laweyan;Lain-lain;-7.5713414;110.7970796;;
Warung Bu Sulastri;Warung kelontong yang jualan utamanya adalah rokok, minuman kemasan, teh, gula, sabun mandi, shampoo, deterjen dll;Pasar Kliwon;Kampungbaru Rt 01 Rw 05;Lain-lain;-7.5687116;110.8304972;;
Sate Sapi;jualan sate;Banjarsari;Keprabon,Prawedanan;Kuliner;-7.5632872;110.8218967;;
Air Galon;menjual air isi ulang;Banjarsari;Jl,Rakata 3 No 5;Lain-lain;-7.5633225;110.8199032;;
Es Jus;jual minuman;Banjarsari;Jl Yosodipuro No 24;Kuliner;-7.56564;110.8201901;;
Rambak Mbah Niti;menjual kerupuk;Laweyan;Purwonegaran ;Kuliner;-7.5659612;110.8125579;;
Hek Lek Topo;menjual es teh, es jeruk, nasi bandeng, gorengan ;Pasar Kliwon;Kampung Sewu;Kuliner;-7.5731315;110.8419154;;
Snack Markuni Bu Hartati;menjual snack markuni goreng;Banjarsari;Jl Madyotaman 1 No 19 Punggawan Banjarsari Surakarta;Kuliner;-7.5586007;110.8200998;;
Warung Makan Gado Gado Mbak Zuni;usaha warung makan dengan menu gado-gado,lotek,tahu acar,dll;Banjarsari;Jl Hasanudin117 Punggawan Banjarsari Surakarta;Kuliner;-7.5578205;110.8196871;;
Warung Bu Tini;jual rokok,gula,pampers ecer,dll;Banjarsari;Jl.Hasanudin No 133 Punggawan,Banjarsari, Surakarta;Lain-lain;-7.5584665;110.8202923;;
Warung Bu Heny;MENYEDIAKAN MINUMAN DAN JUAL SNACK;Banjarsari;Jl.Mayang No 14;Kuliner;-7.5687908;110.8355933;;
Loundry Novi;usaha mencuci pakaian ;Banjarsari;Priyobadan;Lain-lain;-7.5659303;110.8163672;;
Bengkel Mobil Irish Servis;reparasi mobil;Jebres;Jl Suko Blok C4 No 10;Lain-lain;-7.5666906;110.8164298;;
Warung Kelontong;MENJUAL JAJANAN RINGAN DI RUMAH;Banjarsari;Jalan Soka Rt 003 Rw 002 Timuran;Lain-lain;-7.567182;110.8170808;;
Kedai Makan Pak Plendung;Menjual nasi sop matahari, timlo, selat;Serengan ;Kratonan ;Kuliner;-7.580506;110.8191835;;
Kedai Makanan Mbah Yam;Menjual Nasi sayur ;Serengan ;Kratonan;Kuliner;-7.580444;110.8187192;;
Gorengan Ibu Ne Gogon;Menjual aneka gorengan ;Serengan ;"Indomaret Veteran 
Kratonan Rt 04 Rw 01 ";Kuliner;-7.5815949;110.8188123;;
